Question,Answer
"Have you obtained a Bachelor's Degree?",Yes
"Do you have a valid driver's license?",Yes
"Are you certified as a Google Cloud Professional Cloud Architect?",Yes
"How many years of experience do you have with C++?",1
"How many years of experience do you have in the gaming industry?",1
"How many years of engineering experience do you have?",1
"How many years of experience do you have working with Unreal Engine?",1
"How many years have you actively used Unreal Engine?",1
"How many years of experience do you have working with databases?",1
"How many years of experience do you have in business development?",1
"Are you comfortable commuting to the job location?",Yes
